DATE,MONTH,TYPE,TOTAL (IN TONS)
06/30/2015,June,Misc. Garbage,3202
07/31/2015,July,Curb Recycling,1343
07/31/2015,July,Misc. Recycling,2
07/31/2015,July,Bottle Bill,317
07/31/2015,July,Scrap Metal,336
07/31/2015,July,Recycled Tires,32
07/31/2015,July,Yard Waste,0
07/31/2015,July,Asphalt Debris,0
07/31/2015,July,Sidewalk Debris,0
07/31/2015,July,Haz Waste,12
07/31/2015,July,E-Waste,59
07/31/2015,July,Curb Garbage,9001
07/31/2015,July,Misc. Garbage,2023
08/31/2015,August,Curb Recycling,1226
08/31/2015,August,Misc. Recycling,10
08/31/2015,August,Bottle Bill,317
08/31/2015,August,Scrap Metal,336
08/31/2015,August,Recycled Tires,22
08/31/2015,August,Yard Waste,0
08/31/2015,August,Asphalt Debris,0
08/31/2015,August,Sidewalk Debris,0
08/31/2015,August,Haz Waste,0
08/31/2015,August,E-Waste,40
08/31/2015,August,Curb Garbage,7626
08/31/2015,August,Misc. Garbage,3325
09/30/2015,September,Curb Recycling,1260
09/30/2015,September,Misc. Recycling,10
09/30/2015,September,Bottle Bill,317
09/30/2015,September,Scrap Metal,336
09/30/2015,September,Recycled Tires,33
09/30/2015,September,Yard Waste,0
09/30/2015,September,Asphalt Debris,0
09/30/2015,September,Sidewalk Debris,0
09/30/2015,September,Haz Waste,0
09/30/2015,September,E-Waste,36
09/30/2015,September,Curb Garbage,7806
09/30/2015,September,Misc. Garbage,2068
10/31/2015,October,Curb Recycling,1236
10/31/2015,October,Misc. Recycling,10
10/31/2015,October,Bottle Bill,317
10/31/2015,October,Scrap Metal,336
10/31/2015,October,Recycled Tires,25
10/31/2015,October,Yard Waste,678
10/31/2015,October,Asphalt Debris,0
10/31/2015,October,Sidewalk Debris,0
10/31/2015,October,Haz Waste,12
10/31/2015,October,E-Waste,33
10/31/2015,October,Curb Garbage,7488
10/31/2015,October,Misc. Garbage,1742
11/30/2015,November,Curb Recycling,1277
11/30/2015,November,Misc. Recycling,10
11/30/2015,November,Bottle Bill,317
11/30/2015,November,Scrap Metal,336
11/30/2015,November,Recycled Tires,7
11/30/2015,November,Yard Waste,255
11/30/2015,November,Asphalt Debris,0
11/30/2015,November,Sidewalk Debris,0
11/30/2015,November,Haz Waste,0
11/30/2015,November,E-Waste,22
11/30/2015,November,Curb Garbage,7073
11/30/2015,November,Misc. Garbage,1150
12/31/2015,December,Curb Recycling,1477
12/31/2015,December,Misc. Recycling,5100
12/31/2015,December,Bottle Bill,317
12/31/2015,December,Scrap Metal,444
12/31/2015,December,Recycled Tires,25
12/31/2015,December,Yard Waste,10500
12/31/2015,December,Asphalt Debris,0
